country,avg_gdp_growth
AT,3.5846521059510787
BE,3.8061971611029515
BG,8.388063714423442
CY,5.570792715851014
CZ,6.80488541138003
DE,2.8714010391947595
DK,3.3895149848721973
EA19,3.4069653529842134
EA20,3.4163376107546832
EE,9.042310777436809
EL,2.882835140512001
ES,4.2923289155318205
EU27_2020,3.4960169313235667
FI,3.588728556349212
FR,3.078412117450877
HR,5.694557649677646
HU,6.549434476813908
IE,8.67089404586938
IT,2.7845085236932863
LT,9.598491378458721
LU,6.148267149890172
LV,8.54858362122193
MT,7.641823273007444
NL,4.235845148355188
PL,7.311105281291048
PT,4.077966182765545
RO,9.797731819577978
SE,3.364785528800278
SI,5.146939314154934
SK,7.682511704301389
