country,avg_debt_to_gdp,deficit_volatility,avg_debt_growth,dominant_cluster,n_years,Shock_Response_Index,delta_2008,delta_2020,CrisisDeficitMagnitude,Fiscal_Risk_Score,avg_gdp_growth,country_name
EL,143.84640726619497,4.355497630717558,4.694900288272957,1,29,-10.642616881792012,-6.4753064530064925,-9.232114838406796,10.642616881792012,0.8233690250051628,2.882835140512001,Greece
IE,57.37563124405512,7.380691352973958,6.8385619879074895,0,29,-6.769783215421806,-11.989552924908788,-3.1542579671916275,6.769783215421806,0.67716931361089,8.67089404586938,Ireland
ES,75.70176586528748,3.8333939702246433,6.268010865230446,1,29,-8.089561615279061,-9.643844250700624,-5.3850121670287585,8.089561615279061,0.5524134201165469,4.2923289155318205,Spain
IT,122.2210142351545,2.1484667809029494,3.5220168004627417,1,29,-6.473742578922627,-0.8102767277274676,-7.076912662742117,6.473742578922627,0.5243659432909465,2.7845085236932863,Italy
PT,93.35968408218146,2.918708675773693,5.666596035212437,1,29,-5.5656676140217085,-2.4517822123238107,-3.184905689409601,5.5656676140217085,0.47232990041866196,4.077966182765545,Portugal
BE,104.72244895621103,2.1695760985778634,2.855053136734073,1,29,-5.244824979551186,-2.4684332683947527,-5.931533731648292,5.244824979551186,0.4478319885394544,3.8061971611029515,Belgium
CY,75.11146637628339,4.000636261167574,6.592605695549901,1,29,-3.0311741820203597,-2.4971576927301524,-3.511517236373537,3.0311741820203597,0.4193996947089149,5.570792715851014,Cyprus
FR,83.49767513537151,1.838262914486688,5.470336097209943,1,29,-6.599429787299189,-2.3886177662211128,-5.066909943378755,6.599429787299189,0.4136464221138875,3.078412117450877,France
MT,56.97505449623688,3.2280117842543876,9.002581426797931,0,29,-5.709213976092496,-1.134255501454891,-9.827577039820076,5.709213976092496,0.4040853871677616,7.641823273007444,Malta
HU,67.79934002042377,2.2148397206161863,6.260949305107462,1,29,-5.785249329925608,3.1081532988260596,-5.1232154309503635,5.785249329925608,0.37392182530133045,6.549434476813908,Hungary
AT,74.57648533412697,1.912598082655129,4.124584760842947,1,29,-5.212604648690544,-1.287406047944506,-6.934216275447582,5.212604648690544,0.3570995226777335,3.5846521059510787,Austria
RO,28.573149436382245,2.599842788624114,19.796899767691794,0,29,-7.842710447568528,-5.562405479847953,-4.989650751225909,7.842710447568528,0.35651177749937235,9.797731819577978,Romania
HR,54.15193628143664,2.91538219098443,9.275313752482,0,29,-4.781879092916588,-2.325835727015983,-5.148272781015223,4.781879092916588,0.35291803760357604,5.694557649677646,Croatia
SK,45.92213541811416,2.878807364522639,12.217702465117819,0,29,-5.277732105657292,-2.467533842888239,-4.127557031298127,5.277732105657292,0.344206913750536,7.682511704301389,Slovakia
SI,47.65262592005849,2.627213733844177,10.573845210533962,0,29,-4.89988268126455,-2.751422106373555,-6.68721305685845,4.89988268126455,0.3232568629672634,5.146939314154934,Slovenia
LV,29.312908069599825,2.644301076250021,15.077958497086524,0,29,-6.398366983127401,-6.591408246491005,-5.0506298815445705,6.398366983127401,0.3205939994173391,8.54858362122193,Latvia
LT,29.55387050145583,2.9180126482771622,15.785406646231724,0,29,-4.926450346068453,-5.592328607022618,-4.214484577185528,4.926450346068453,0.2960531496652616,9.598491378458721,Lithuania
FI,55.81917616100826,3.2366937087934136,5.074062952893553,0,29,-1.6221232081727752,-3.0707686464034527,-3.2814702066739523,1.6221232081727752,0.2875445174849258,3.588728556349212,Finland
PL,47.639896917314594,1.845834219370168,8.301210873694837,0,29,-4.840086553685729,-2.305116780355885,-3.4429186069285405,4.840086553685729,0.2759326330778974,7.311105281291048,Poland
DE,66.02301422161432,1.9750906764111156,3.274001790138665,0,29,-2.746470849603149,-0.06239990776881554,-5.289355451776315,2.746470849603149,0.27062191203080704,2.8714010391947595,Germany
CZ,31.08781358387967,2.164951125933449,11.998971391653765,0,29,-4.514005456510833,-1.7525929046064472,-6.17533265125353,4.514005456510833,0.24436971777803884,6.80488541138003,Czechia
NL,55.10074534250594,1.9476996292534254,2.5273151923293065,0,29,-2.7735919478482565,-2.3469041872495455,-4.57403251462077,2.7735919478482565,0.24266907048480837,4.235845148355188,Netherlands
BG,30.7135209434485,2.287402600914149,4.704969475797255,0,27,-2.7021497070026417,-2.9319969181801175,-5.731860494386316,2.7021497070026417,0.1999734305308985,8.388063714423442,Bulgaria
EE,9.55683401656729,1.9136781667773552,15.199041349008436,0,29,-3.3321821768693787,-4.920356168833067,-3.573022161434179,3.3321821768693787,0.14323866507432537,9.042310777436809,Estonia
SE,44.97821957594818,1.6716252763796606,1.0840799861993906,0,29,-0.6103220366830936,-2.0455262315141254,-2.4908653192569967,0.6103220366830936,0.1409898909811737,3.364785528800278,Sweden
DK,41.73592823397065,2.6606298208147017,1.3493295258069324,0,24,1.2892414762770932,-4.907169815848386,-0.04044595120183647,-1.2892414762770932,0.1376195667263791,3.3895149848721973,Denmark
LU,15.910702686067111,1.937473026686278,10.558302844740355,0,29,0.29649520659392,-0.44031076630937727,-3.3959320102380683,-0.29649520659392,0.059027295623434575,6.148267149890172,Luxembourg
